County,ZipCode,Child Well Being Index,"High School, College & Career Readiness",High School Graduation Rate,Students Exceeding 3rd Grade Reading Level,Students Exceeding 8th Grade Math Level,Chilren Without Health Insurance,Low Birth Weights,Children in Poverty,Families Not Financially Stable,Families w/ Housing Cost Burden,Births to Moms w/o High School Diploma,Parents Enrolled in Post Secondary Education,Adults w/o High School Diploma,Adults w/o Health Insurance,Unemployment Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton,30260,41.9,64.5,59.8,35.5,27.1,10.1,11.6,35.2,47.2,40.7,21.9,67.6,16.6,27.6,18.3,1382,1822,1684,606,523,164,7.9,14.3,4.2,11.0,8.1,26.4,5.0,31.4,6.0,1568,2815,835,2198,1629,5218,1007,6225,1191,23.4,55.5,13.6,3.6,2.8,12.2,126523,112456,124955,4604,2596,1061,1028,82.9,9.3,5.4,2.3,0.1,2907,1154,58.2,41.8,65.9,94.8,19857,6225,36.9,49.3,45.7,Q2: Low Perf
Clayton,30273,58.2,65.1,60.6,38.7,17.1,3.8,10.2,16.2,32.0,34.4,12.9,68.5,8.1,20.9,10.2,456,641,518,174,162,20,8.0,14.7,5.2,8.2,7.3,27.9,4.6,32.5,3.6,968,1779,629,992,883,3376,553,3929,439,15.7,78.2,2.0,2.2,1.9,4.8,59088,49814,66238,3014,1769,880,497,87.3,5.4,4.5,2.5,0.3,2981,444,84.0,16.0,75.4,94.7,12101,3929,45.1,65.6,64.2,Q3: Aver Perf
Clayton,30274,34.0,54.0,61.3,22.6,19.8,14.6,12.0,31.1,47.3,49.3,19.3,59.7,17.5,34.7,16.6,2479,2502,3172,646,795,566,7.7,14.8,4.3,11.6,7.9,26.9,4.4,31.2,7.2,2427,4503,1298,3551,2486,8228,1532,9760,2019,10.6,78.6,6.2,3.4,1.1,8.8,260936,276242,268889,6620,3947,1394,1467,71.3,13.0,11.1,3.9,0.7,3401,926,40.9,59.1,61.4,88.6,31086,9760,27.2,44.9,38.1,Q1: V.Low Perf
Clayton,30288,31.5,59.6,60.9,21.9,8.3,21.0,10.0,27.1,44.8,51.1,22.3,64.3,17.6,33.2,24.5,1824,2240,2558,711,680,369,9.1,17.8,3.2,9.2,6.4,30.2,2.3,32.5,6.9,2532,4932,882,2594,1787,8346,704,9050,1891,19.3,73.3,1.3,3.8,1.0,13.0,178095,158622,194369,6117,3560,1794,1106,86.5,8.3,4.8,0.3,0.3,5002,1149,70.7,29.4,65.5,93.8,27848,9050,27.1,42.7,33.7,Q1: V.Low Perf
Clayton,30296,45.7,54.4,60.2,25.4,18.9,6.8,10.8,26.1,32.0,38.5,13.7,61.6,12.4,25.2,20.3,790,922,1511,298,221,243,8.4,13.8,4.2,12.4,6.9,26.4,4.2,30.5,8.3,1364,2172,651,1988,1053,4187,652,4839,1336,12.3,81.2,2.7,0.7,2.3,7.0,141859,149997,141834,4040,2284,919,738,77.3,11.1,7.8,3.6,0.2,2439,747,55.3,44.7,69.3,91.1,15728,4839,33.9,62.1,43.9,Q2: Low Perf
Clayton,30297,21.5,56.4,52.7,29.0,20.1,22.3,9.1,35.6,52.9,49.3,40.6,58.1,30.3,45.5,16.2,3895,4132,4311,1569,1527,793,9.1,15.7,4.1,11.3,7.8,28.9,3.1,32.0,8.2,3041,5184,1354,3791,2507,9578,953,10531,2838,36.0,44.1,9.3,7.2,3.3,29.6,261815,274092,259584,6625,3995,1805,1251,76.6,12.3,8.1,2.4,0.6,2878,1513,45.0,55.1,56.7,89.4,32868,10531,25.9,29.2,23.0,Q1: V.Low Perf
Clayton,30349,32.3,51.1,48.6,27.3,12.5,18.2,12.7,41.7,49.8,49.6,16.6,67.4,16.0,33.8,18.7,916,1203,1353,300,405,215,8.3,18.1,6.1,9.6,3.7,32.5,1.7,34.2,7.9,831,1788,554,935,363,3174,179,3353,756,5.4,87.2,3.3,2.4,1.1,6.4,95509,89264,95808,1844,1276,406,659,70.1,12.9,11.8,4.5,0.7,819,219,29.2,70.8,72.0,89.0,9879,3353,16.8,45.5,42.6,Q1: V.Low Perf
#REF!,30008,31.0,61.8,64.6,28.1,23.7,19.4,9.4,40.7,52.7,42.7,31.0,63.0,26.5,46.1,15.1,410,526,685,157,169,116,9.4,14.1,3.6,12.1,7.8,27.0,4.0,31.0,8.1,523,869,216,714,440,1609,239,1848,475,44.1,36.5,2.3,13.9,3.0,33.9,39695,41091,39867,1345,785,398,282,73.0,18.8,3.9,3.6,0.7,757,228,54.0,46.0,38.3,86.3,42002,12936,32.9,39.9,30.3,#REF!
Cobb,30060,45.5,70.4,71.0,25.6,24.7,17.3,7.6,35.5,45.3,44.7,24.5,76.9,16.6,33.3,13.1,399,552,598,260,322,120,5.7,10.3,2.1,20.7,4.3,18.1,5.8,23.9,14.9,438,776,164,1638,327,1378,469,1847,1169,50.0,37.7,5.7,6.2,0.5,21.7,81437,86417,66250,1339,813,339,267,59.6,19.7,12.1,6.4,2.4,482,210,21.9,78.2,36.2,86.6,7653,1847,43.0,45.6,54.5,Q3: Aver Perf
Cobb,30062,83.7,84.0,85.1,72.6,60.1,5.8,7.5,8.0,17.1,29.7,7.3,88.6,6.8,14.4,7.1,1578,1367,1366,558,499,320,5.7,15.3,4.6,6.1,12.1,25.6,2.8,28.4,3.3,3404,9257,2731,3747,7147,15392,1687,17079,2060,74.2,13.3,7.5,2.9,1.8,8.4,1021778,1032926,879125,16717,8603,6571,1578,84.8,7.8,3.4,3.5,0.5,13199,3743,79.3,20.7,43.0,84.6,59995,17079,82.3,78.3,84.9,Q5: V.High Perf
